Elapsed Time;Working Time;Procrastination Time;Wandering Time;Notification
0.0;1;0;0;
0.52;2;0;0;
1.52;3;0;0;
2.53;4;0;0;
3.55;5;0;0;
4.58;6;0;0;
5.58;7;0;0;
6.58;8;0;0;
7.59;9;0;0;
8.61;10;0;0;
9.61;11;0;0;
10.61;12;0;0;
11.62;13;0;0;
12.64;14;0;0;
13.65;15;0;0;
14.68;16;0;0;
15.68;17;0;0;
16.68;18;0;0;
17.71;19;0;0;
18.71;20;0;0;
19.71;21;0;0;
20.72;22;0;0;
21.74;23;0;0;
22.74;24;0;0;
23.74;25;0;0;
24.74;26;0;0;
25.76;27;0;0;
26.78;28;0;0;
27.78;29;0;0;
28.81;0;1;0;
29.82;0;2;0;
30.81;1;0;0;
31.82;2;0;0;
32.83;3;0;0;
33.84;4;0;0;
34.85;5;0;0;
35.85;6;0;0;
36.88;7;0;0;
37.88;8;0;0;
38.88;9;0;0;
39.88;10;0;0;
40.91;11;0;0;
41.91;12;0;0;
42.92;13;0;0;
43.93;14;0;0;
44.94;15;0;0;
45.95;16;0;0;
46.98;17;0;0;
47.98;18;0;0;
48.98;19;0;0;
49.98;20;0;0;
50.98;21;0;0;
51.99;22;0;0;
53.01;23;0;0;
54.02;24;0;0;
55.03;25;0;0;
56.04;26;0;0;
57.05;27;0;0;
58.04;28;0;0;
59.05;29;0;0;
60.08;30;0;0;
61.08;31;0;0;
62.09;32;0;0;
63.11;33;0;0;
64.11;34;0;0;
65.12;35;0;0;
66.14;36;0;0;
67.15;37;0;0;
68.18;38;0;0;
69.18;39;0;0;
70.18;40;0;0;
71.18;41;0;0;
72.18;42;0;0;
73.19;43;0;0;
74.21;44;0;0;
75.21;45;0;0;
76.21;46;0;0;
77.21;47;0;0;
78.23;48;0;0;
79.23;49;0;0;
80.25;50;0;0;
81.28;51;0;0;
82.28;52;0;0;
83.28;53;0;0;
84.28;54;0;0;
85.31;55;0;0;
86.31;56;0;0;
87.32;57;0;0;
88.33;58;0;0;
89.33;59;0;0;
90.35;60;0;0;
91.38;61;0;0;
92.38;62;0;0;
93.38;63;0;0;
94.38;64;0;0;
95.41;65;0;0;
96.41;66;0;0;
97.41;67;0;0;
98.41;68;0;0;
99.44;69;0;0;
100.43;70;0;0;
101.44;71;0;0;
102.48;72;0;0;
103.48;73;0;0;
104.48;74;0;0;
105.51;75;0;0;
106.51;76;0;0;
107.51;77;0;0;
108.51;78;0;0;
109.51;79;0;0;
110.52;80;0;0;
111.52;81;0;0;
112.54;82;0;0;
113.55;83;0;0;
114.55;84;0;0;
115.55;0;1;0;
116.58;0;2;0;
117.58;0;3;0;
118.58;0;4;0;
119.58;0;5;0;
120.61;0;6;0;
121.61;0;7;0;
122.62;0;8;0;
123.62;0;9;0;
124.64;0;10;0;
125.64;0;11;0;
126.65;0;12;0;messaging, L0
127.68;0;13;0;
128.68;0;14;0;
129.68;0;15;0;
130.68;0;16;0;
131.69;0;17;0;
132.71;0;18;0;
133.71;0;19;0;
134.71;0;20;0;
135.73;0;21;0;
136.74;0;22;0;
137.74;0;23;0;
138.76;0;24;0;
139.78;0;25;0;
140.78;0;26;0;
141.81;0;27;0;
142.81;0;28;0;
143.81;0;29;0;
144.83;0;30;0;
145.83;0;31;0;
146.84;0;32;0;
147.85;0;33;0;
148.88;0;34;0;
149.95;1;0;0;
150.98;2;0;0;
151.98;3;0;0;
152.98;4;0;0;
154.01;5;0;0;
155.01;6;0;0;
156.02;7;0;0;
157.03;8;0;0;
158.04;9;0;0;
159.05;10;0;0;
160.08;11;0;0;
161.08;12;0;0;
162.08;13;0;0;
163.09;14;0;0;
164.09;0;1;0;
165.11;0;2;0;
166.11;0;3;0;
167.13;1;0;0;
168.13;2;0;0;
169.14;3;0;0;
170.15;4;0;0;
171.18;5;0;0;
172.18;6;0;0;
173.18;7;0;0;
174.18;8;0;0;
175.18;9;0;0;
176.21;10;0;0;
177.21;11;0;0;
178.21;12;0;0;
179.22;13;0;0;
180.23;14;0;0;
181.25;15;0;0;
182.28;16;0;0;
183.25;17;0;0;
184.25;18;0;0;
185.28;0;1;0;
186.28;0;2;0;
187.28;0;3;0;
188.29;0;4;0;
189.31;0;5;0;
190.31;0;6;0;
191.31;0;7;0;
192.32;0;8;0;
193.32;0;9;0;
194.33;1;9;0;
195.34;2;9;0;
196.35;3;9;0;
197.36;4;9;0;
198.38;5;9;0;
199.38;6;9;0;
200.38;7;0;0;
201.38;8;0;0;
202.42;9;0;0;
203.41;10;0;0;
204.41;11;0;0;
205.42;12;0;0;
206.44;13;0;0;
207.48;14;0;0;
208.45;15;0;0;
209.48;16;0;0;
210.48;17;0;0;
211.51;18;0;0;
212.51;19;0;0;
213.51;20;0;0;
214.51;21;0;0;
215.53;22;0;0;
216.54;23;0;0;
217.55;24;0;0;
218.58;25;0;0;
219.58;26;0;0;
220.58;27;0;0;
221.61;28;0;0;
222.61;29;0;0;
223.62;30;0;0;
224.63;31;0;0;
225.64;32;0;0;
226.64;33;0;0;
227.65;34;0;0;
228.65;35;0;0;
229.68;36;0;0;
230.68;37;0;0;
231.71;38;0;0;
232.71;39;0;0;
233.72;40;0;0;
234.73;41;0;0;
235.74;42;0;0;
236.75;43;0;0;
237.78;44;0;0;
238.78;45;0;0;
239.81;46;0;0;
240.81;47;0;0;
241.83;48;0;0;
242.84;49;0;0;
243.85;50;0;0;
244.88;51;0;0;
245.88;52;0;0;
246.88;53;0;0;
247.88;54;0;0;
248.91;55;0;0;
249.91;56;0;0;
250.91;57;0;0;
251.92;58;0;0;
252.93;59;0;0;
253.93;60;0;0;
254.98;61;0;0;
255.96;62;0;0;
256.98;63;0;0;
257.98;64;0;0;
258.98;65;0;0;
260.01;66;0;0;
261.01;67;0;0;
262.02;68;0;0;
263.03;69;0;0;
264.04;70;0;0;
265.05;71;0;0;
266.08;72;0;0;
267.08;73;0;0;
268.11;74;0;0;
269.11;75;0;0;
270.11;76;0;0;
271.12;77;0;0;
272.13;78;0;0;
273.14;79;0;0;
274.15;80;0;0;
275.15;81;0;0;
276.18;82;0;0;
277.18;83;0;0;
278.18;84;0;0;
279.21;85;0;0;
280.21;86;0;0;
281.21;87;0;0;
282.22;88;0;0;
283.22;89;0;0;
284.22;90;0;0;
285.23;91;0;0;
286.24;92;0;0;
287.24;93;0;0;
288.26;94;0;0;
289.28;95;0;0;
290.28;96;0;0;
291.31;97;0;0;
292.31;98;0;0;
293.31;99;0;0;
294.32;100;0;0;
295.33;101;0;0;
296.34;102;0;0;
297.34;103;0;0;
298.35;104;0;0;
299.38;105;0;0;
300.38;106;0;0;
301.39;107;0;0;
302.41;108;0;0;
303.41;109;0;0;
304.42;110;0;0;
305.42;111;0;0;
306.44;112;0;0;
307.45;113;0;0;
308.44;114;0;0;
309.46;115;0;0;
310.48;116;0;0;
311.48;117;0;0;
312.51;118;0;0;
313.51;119;0;0;
314.51;120;0;0;
315.53;121;0;0;
316.53;122;0;0;
317.52;123;0;0;
318.53;124;0;0;
319.53;125;0;0;
320.53;126;0;0;
321.55;127;0;0;
322.58;128;0;0;
323.58;129;0;0;
324.58;130;0;0;
325.59;131;0;0;
326.61;132;0;0;
327.61;133;0;0;
328.62;134;0;0;
329.63;135;0;0;
330.64;136;0;0;
331.64;137;0;0;
332.65;138;0;0;
333.68;139;0;0;
334.68;140;0;0;
335.69;141;0;0;
336.71;142;0;0;
337.71;143;0;0;
338.71;144;0;0;
339.72;145;0;0;
340.73;146;0;0;
341.75;147;0;0;
342.75;148;0;0;
343.78;149;0;0;
344.78;150;0;0;
345.78;151;0;0;
346.81;152;0;0;
347.81;153;0;0;
348.83;154;0;0;
349.84;155;0;0;
350.84;156;0;0;
351.85;157;0;0;
352.88;158;0;0;
353.88;159;0;0;
354.91;160;0;0;
355.91;161;0;0;
356.92;162;0;0;
357.98;163;0;0;
358.94;164;0;0;
359.95;165;0;0;
360.96;166;0;0;
361.95;167;0;0;
362.98;168;0;0;
363.98;169;0;0;
364.98;170;0;0;
366.01;171;0;0;
367.01;172;0;0;
368.02;173;0;0;
369.03;174;0;0;
370.03;175;0;0;
371.04;176;0;0;
372.05;177;0;0;
373.08;178;0;0;
374.08;179;0;0;
375.08;180;0;0;
376.11;181;0;0;
377.11;182;0;0;
378.11;183;0;0;
379.11;184;0;0;
380.11;185;0;0;
381.12;186;0;0;
382.13;187;0;0;
383.13;188;0;0;
384.15;189;0;0;
385.15;190;0;0;
386.18;191;0;0;
387.18;192;0;0;
388.18;193;0;0;
389.18;194;0;0;
390.21;195;0;0;
391.21;196;0;0;
392.21;197;0;0;
393.22;198;0;0;
394.24;199;0;0;
395.24;200;0;0;
396.26;201;0;0;
397.28;202;0;0;
398.28;203;0;0;
399.28;204;0;0;
400.28;205;0;0;
401.31;206;0;0;
402.31;207;0;0;
403.32;208;0;0;
404.33;209;0;0;
405.35;210;0;0;
406.34;211;0;0;
407.38;212;0;0;
408.38;213;0;0;
409.38;214;0;0;
410.41;215;0;0;
411.41;216;0;0;
412.42;217;0;0;
413.43;218;0;0;
414.45;219;0;0;
415.48;220;0;0;
416.48;221;0;0;
417.48;222;0;0;
418.48;223;0;0;
419.51;224;0;0;
420.51;225;0;0;
421.51;226;0;0;
422.52;227;0;0;
423.52;228;0;0;
424.53;229;0;0;
425.53;230;0;0;
426.55;231;0;0;
427.58;232;0;0;
428.58;233;0;0;
429.59;234;0;0;
430.61;235;0;0;
431.61;236;0;0;
432.63;237;0;0;
433.64;238;0;0;
434.65;239;0;0;
435.68;240;0;0;
436.68;241;0;0;
437.68;242;0;0;
438.68;243;0;0;
439.67;244;0;0;
440.71;245;0;0;
441.71;246;0;0;
442.71;247;0;0;
443.72;248;0;0;
444.73;249;0;0;
445.74;250;0;0;
446.76;251;0;0;
447.78;252;0;0;
448.82;253;0;0;
449.79;254;0;0;
450.81;255;0;0;
451.81;256;0;0;
452.82;257;0;0;
453.82;258;0;0;
454.84;259;0;0;
455.85;260;0;0;
456.88;261;0;0;
457.88;262;0;0;
458.91;263;0;0;
459.91;264;0;0;
460.91;265;0;0;
461.91;266;0;0;
462.92;267;0;0;
463.94;268;0;0;
464.94;269;0;0;
465.94;270;0;0;
466.94;271;0;0;
467.95;272;0;0;
468.98;273;0;0;
469.98;274;0;0;
470.98;275;0;0;
471.99;276;0;0;
473.01;277;0;0;
474.01;278;0;0;
475.02;279;0;0;
476.03;280;0;0;
477.04;281;0;0;
478.08;282;0;0;
479.08;283;0;0;
480.08;284;0;0;
481.11;285;0;0;
482.11;286;0;0;
483.11;287;0;0;
484.11;288;0;0;
485.11;289;0;0;
486.13;290;0;0;
487.14;291;0;0;
488.15;292;0;0;
489.18;293;0;0;
490.18;294;0;0;
491.18;295;0;0;
492.21;296;0;0;
493.21;297;0;0;
494.21;298;0;0;
